day_of_week,meal_time,venue_type,seating_capacity,portions,actual_waste_kg
tuesday,dinner,restaurant,161,54,15.5
thursday,breakfast,fastfood,84,89,14.9
thursday,lunch,restaurant,77,23,8.7
sunday,lunch,fastfood,29,42,13.0
friday,dinner,restaurant,128,78,15.7
tuesday,lunch,cafe,40,98,18.5
sunday,lunch,fastfood,32,39,10.9
thursday,dinner,restaurant,48,69,16.8
saturday,lunch,cafe,32,30,8.8
sunday,breakfast,fastfood,152,75,15.8
saturday,dinner,fastfood,69,53,13.3
sunday,breakfast,restaurant,51,72,16.3
monday,breakfast,fastfood,170,41,8.0
sunday,lunch,fastfood,34,28,10.6
tuesday,dinner,fastfood,64,73,14.9
wednesday,breakfast,fastfood,53,85,12.0
saturday,dinner,cafe,116,67,20.0
saturday,lunch,fastfood,197,63,15.9
monday,lunch,cafe,133,60,10.3
wednesday,breakfast,fastfood,88,59,7.3
friday,lunch,restaurant,20,74,16.6
thursday,lunch,cafe,58,67,11.3
tuesday,dinner,cafe,101,14,5.6
wednesday,breakfast,fastfood,151,78,11.3
saturday,breakfast,restaurant,59,90,17.1
tuesday,lunch,cafe,119,12,4.6
monday,dinner,cafe,169,55,13.3
friday,breakfast,fastfood,24,80,12.6
friday,breakfast,restaurant,78,68,12.8
sunday,dinner,fastfood,42,53,14.2
tuesday,lunch,restaurant,130,38,10.0
monday,dinner,fastfood,192,33,7.7
wednesday,breakfast,fastfood,107,65,11.0
tuesday,breakfast,fastfood,152,51,6.4
thursday,dinner,cafe,194,14,5.8
wednesday,breakfast,cafe,47,15,3.9
wednesday,breakfast,cafe,80,83,11.9
sunday,lunch,fastfood,193,28,9.7
friday,lunch,fastfood,30,98,17.9
wednesday,lunch,restaurant,101,95,17.3
thursday,breakfast,restaurant,96,69,13.1
tuesday,breakfast,fastfood,34,80,12.1
wednesday,lunch,fastfood,57,47,9.2
friday,breakfast,cafe,64,40,8.3
thursday,breakfast,fastfood,192,100,14.9
saturday,breakfast,cafe,159,95,18.7
sunday,breakfast,restaurant,90,29,8.5
thursday,lunch,restaurant,114,33,10.1
thursday,dinner,cafe,30,41,11.6
tuesday,dinner,cafe,141,22,9.3
sunday,breakfast,restaurant,98,88,17.6
saturday,breakfast,fastfood,41,51,9.7
monday,breakfast,restaurant,187,31,6.1
tuesday,dinner,restaurant,74,69,17.2
saturday,lunch,cafe,84,86,17.9
tuesday,breakfast,restaurant,37,34,6.7
thursday,lunch,restaurant,120,100,20.6
friday,lunch,fastfood,51,18,3.6
friday,dinner,cafe,79,78,18.4
wednesday,dinner,cafe,92,98,20.7
thursday,lunch,restaurant,37,16,6.8
saturday,dinner,fastfood,74,39,13.8
friday,breakfast,fastfood,65,71,10.1
saturday,dinner,fastfood,137,29,13.3
sunday,lunch,fastfood,160,68,13.9
thursday,dinner,restaurant,145,23,8.7
sunday,breakfast,restaurant,188,16,6.0
sunday,breakfast,cafe,173,45,12.3
sunday,dinner,fastfood,171,64,18.0
thursday,dinner,restaurant,11,47,14.7
tuesday,dinner,restaurant,96,52,13.0
wednesday,lunch,restaurant,91,46,10.2
monday,lunch,fastfood,97,90,15.0
saturday,breakfast,restaurant,146,34,8.2
friday,lunch,restaurant,175,63,11.6
saturday,lunch,cafe,16,41,12.7
sunday,dinner,restaurant,66,60,17.6
thursday,lunch,cafe,118,17,5.4
monday,lunch,restaurant,197,34,9.0
wednesday,lunch,cafe,24,75,15.3
saturday,dinner,fastfood,123,47,13.4
sunday,dinner,cafe,117,31,14.0
friday,dinner,cafe,72,77,18.0
tuesday,lunch,restaurant,194,71,16.6
sunday,lunch,cafe,70,82,16.6
monday,lunch,cafe,127,15,6.2
thursday,breakfast,cafe,73,56,9.0
thursday,lunch,cafe,68,88,14.9
tuesday,dinner,fastfood,116,22,5.8
saturday,lunch,cafe,124,27,11.5
wednesday,breakfast,fastfood,40,56,7.0
wednesday,lunch,restaurant,95,80,16.3
tuesday,breakfast,cafe,58,26,4.9
monday,breakfast,cafe,176,17,2.8
saturday,breakfast,cafe,178,49,10.0
monday,dinner,cafe,163,48,13.5
wednesday,lunch,restaurant,65,22,6.7
sunday,lunch,cafe,26,83,17.2
friday,lunch,fastfood,193,69,14.0
monday,dinner,cafe,128,39,11.3
monday,breakfast,cafe,137,84,11.6
thursday,lunch,cafe,26,96,16.5
sunday,lunch,fastfood,179,50,13.5
friday,lunch,cafe,142,55,12.6
saturday,lunch,fastfood,56,56,12.9
monday,dinner,cafe,111,25,10.7
sunday,dinner,restaurant,99,20,11.3
saturday,dinner,cafe,174,39,12.6
thursday,lunch,fastfood,112,84,13.7
friday,breakfast,fastfood,169,11,1.0
tuesday,lunch,cafe,94,29,5.4
sunday,dinner,restaurant,163,65,19.3
thursday,dinner,fastfood,180,47,11.4
saturday,breakfast,restaurant,190,24,9.6
sunday,lunch,fastfood,149,58,13.1
thursday,breakfast,cafe,77,72,12.2
monday,breakfast,restaurant,69,58,12.0
sunday,breakfast,cafe,197,77,16.1
saturday,breakfast,fastfood,57,44,8.2
tuesday,dinner,cafe,38,50,13.8
wednesday,breakfast,restaurant,192,20,4.7
monday,breakfast,cafe,170,75,13.7
sunday,dinner,restaurant,81,51,18.2
tuesday,dinner,fastfood,127,12,6.7
saturday,breakfast,fastfood,13,28,6.3
wednesday,breakfast,restaurant,31,79,14.9
tuesday,breakfast,restaurant,28,52,11.0
thursday,breakfast,fastfood,150,94,15.5
sunday,dinner,fastfood,62,67,15.5
thursday,breakfast,fastfood,38,68,10.6
sunday,dinner,fastfood,200,62,15.7
friday,dinner,restaurant,172,73,17.0
tuesday,lunch,cafe,32,46,10.5
monday,lunch,cafe,10,25,8.0
sunday,lunch,cafe,143,75,19.2
friday,lunch,restaurant,87,98,16.9
thursday,lunch,cafe,175,55,11.3
saturday,lunch,restaurant,197,100,22.7
wednesday,breakfast,fastfood,128,35,4.8
wednesday,breakfast,fastfood,189,18,2.5
thursday,lunch,fastfood,122,75,12.2
monday,dinner,fastfood,196,50,12.3
thursday,dinner,cafe,28,24,8.8
friday,lunch,fastfood,90,77,15.5
monday,dinner,restaurant,31,79,17.5
wednesday,lunch,restaurant,55,25,9.4
monday,dinner,fastfood,23,24,7.1
tuesday,lunch,cafe,26,35,7.5
friday,lunch,restaurant,147,54,11.5
thursday,lunch,fastfood,154,65,12.7
monday,lunch,fastfood,127,72,13.0
monday,lunch,cafe,76,39,7.3
tuesday,breakfast,cafe,125,26,6.4
monday,breakfast,cafe,115,12,3.2
sunday,dinner,cafe,197,100,24.1
thursday,lunch,restaurant,172,57,13.2
friday,dinner,fastfood,176,27,8.8
monday,dinner,fastfood,86,16,4.6
monday,dinner,restaurant,41,90,20.8
tuesday,breakfast,restaurant,139,46,9.7
thursday,breakfast,fastfood,57,100,13.7
thursday,dinner,fastfood,83,93,17.7
saturday,breakfast,cafe,125,63,15.1
friday,dinner,cafe,200,22,8.4
monday,lunch,restaurant,109,45,11.3
tuesday,breakfast,fastfood,176,66,9.9
monday,breakfast,fastfood,81,98,13.8
thursday,breakfast,fastfood,114,87,12.6
friday,lunch,restaurant,61,69,15.2
friday,dinner,cafe,83,26,8.1
thursday,breakfast,fastfood,149,75,11.2
monday,breakfast,fastfood,106,52,8.6
sunday,lunch,cafe,161,34,10.2
monday,dinner,fastfood,59,19,7.7
wednesday,lunch,fastfood,73,18,5.9
monday,lunch,fastfood,31,14,4.5
wednesday,breakfast,fastfood,159,40,4.9
wednesday,breakfast,fastfood,185,89,11.6
sunday,dinner,cafe,187,62,18.4
tuesday,lunch,fastfood,99,93,16.5
friday,dinner,fastfood,49,15,6.1
sunday,dinner,cafe,23,100,24.5
wednesday,lunch,restaurant,176,23,6.9
saturday,breakfast,restaurant,78,32,11.7
thursday,lunch,restaurant,102,14,4.9
monday,breakfast,cafe,174,59,8.8
friday,breakfast,cafe,102,48,6.3
sunday,dinner,fastfood,94,39,10.9
friday,breakfast,restaurant,53,85,15.3
tuesday,breakfast,cafe,156,90,13.2
saturday,lunch,fastfood,155,59,13.6
saturday,dinner,restaurant,155,46,14.3
sunday,lunch,fastfood,102,67,15.6
sunday,breakfast,fastfood,47,48,8.9
wednesday,lunch,restaurant,92,28,6.4
saturday,lunch,restaurant,196,78,20.1
thursday,breakfast,fastfood,128,60,10.1
sunday,lunch,cafe,67,62,15.3
monday,dinner,cafe,133,70,14.4
tuesday,dinner,restaurant,30,21,10.0
thursday,breakfast,restaurant,174,34,7.9
tuesday,lunch,cafe,189,39,10.0
saturday,breakfast,fastfood,21,80,16.7
thursday,dinner,cafe,186,20,6.7
sunday,lunch,fastfood,71,93,20.2
sunday,breakfast,fastfood,116,70,13.7
friday,breakfast,cafe,99,92,14.0
saturday,breakfast,restaurant,176,90,20.4
sunday,dinner,cafe,37,36,11.9
monday,lunch,restaurant,94,90,16.1
saturday,lunch,fastfood,102,87,19.2
thursday,breakfast,fastfood,95,40,8.0
friday,dinner,restaurant,92,71,17.4
wednesday,lunch,restaurant,191,64,12.2
saturday,lunch,fastfood,80,91,17.3
tuesday,lunch,restaurant,103,24,9.0
tuesday,dinner,fastfood,134,85,17.9
saturday,lunch,cafe,18,21,10.8
saturday,dinner,fastfood,104,38,11.4
thursday,breakfast,restaurant,191,19,5.2
saturday,dinner,cafe,127,29,11.6
friday,dinner,restaurant,176,58,16.2
friday,breakfast,restaurant,153,92,16.3
tuesday,dinner,cafe,159,92,19.8
monday,lunch,restaurant,29,30,9.6
sunday,breakfast,fastfood,82,64,14.5
thursday,dinner,fastfood,158,100,20.6
tuesday,breakfast,fastfood,196,45,7.5
wednesday,dinner,cafe,113,98,18.5
monday,lunch,cafe,48,66,13.0
tuesday,breakfast,restaurant,35,46,7.9
wednesday,breakfast,restaurant,93,25,5.9
tuesday,lunch,fastfood,166,37,9.3
friday,lunch,fastfood,181,89,15.2
monday,breakfast,restaurant,85,81,14.0
friday,breakfast,cafe,129,18,2.1
monday,breakfast,restaurant,82,85,16.5
monday,lunch,restaurant,153,58,14.0
friday,dinner,cafe,77,33,10.6
saturday,breakfast,restaurant,165,62,14.0
friday,dinner,cafe,36,82,18.7
monday,dinner,cafe,114,37,9.8
thursday,dinner,cafe,172,26,9.1
saturday,breakfast,fastfood,73,90,16.5
saturday,breakfast,fastfood,121,35,9.7
friday,lunch,fastfood,126,22,5.0
sunday,dinner,cafe,26,100,23.4
friday,lunch,fastfood,71,82,15.8
friday,dinner,cafe,145,19,7.6
tuesday,breakfast,cafe,159,88,15.7
friday,breakfast,cafe,102,26,3.0
tuesday,breakfast,fastfood,48,36,4.3
monday,dinner,fastfood,139,81,16.9
tuesday,lunch,fastfood,37,83,14.9
thursday,dinner,restaurant,53,42,11.6
sunday,breakfast,cafe,157,38,8.3
monday,breakfast,restaurant,116,97,17.8
wednesday,breakfast,restaurant,195,30,8.2
tuesday,lunch,restaurant,141,79,16.1
sunday,lunch,fastfood,84,37,8.7
tuesday,dinner,restaurant,127,11,9.4
sunday,breakfast,restaurant,135,44,10.1
thursday,breakfast,restaurant,77,39,9.2
monday,lunch,fastfood,143,60,10.9
monday,lunch,restaurant,137,88,18.4
tuesday,breakfast,cafe,150,76,11.3
monday,lunch,cafe,30,85,14.5
wednesday,dinner,restaurant,182,21,8.8
friday,dinner,fastfood,19,99,17.0
saturday,lunch,fastfood,142,75,16.3
monday,dinner,cafe,191,79,16.6
wednesday,breakfast,restaurant,102,75,12.6
wednesday,breakfast,cafe,74,75,10.4
saturday,lunch,restaurant,86,65,17.8
wednesday,lunch,cafe,81,80,16.2
saturday,lunch,restaurant,149,85,21.1
tuesday,dinner,restaurant,155,75,15.5
monday,dinner,fastfood,10,85,18.4
saturday,breakfast,fastfood,35,44,9.0
wednesday,lunch,restaurant,168,91,17.2
monday,dinner,restaurant,54,34,12.6
sunday,dinner,cafe,72,64,19.2
thursday,lunch,cafe,129,74,15.7
wednesday,breakfast,cafe,172,63,10.3
wednesday,dinner,restaurant,41,89,18.5
saturday,breakfast,cafe,34,92,19.6
tuesday,dinner,cafe,130,48,10.3
tuesday,breakfast,restaurant,195,33,7.1
wednesday,lunch,fastfood,72,71,12.3
saturday,breakfast,cafe,164,31,8.7
saturday,dinner,cafe,41,83,19.2
saturday,dinner,cafe,111,69,17.8
friday,dinner,cafe,183,40,11.2
tuesday,breakfast,fastfood,77,45,6.0
wednesday,breakfast,cafe,114,73,13.0
friday,breakfast,fastfood,197,56,9.6
monday,dinner,cafe,113,65,14.9
friday,lunch,restaurant,173,93,18.2
sunday,breakfast,restaurant,72,17,8.1
monday,breakfast,fastfood,67,59,8.7
monday,breakfast,restaurant,162,67,12.5
tuesday,lunch,restaurant,10,26,9.4
saturday,lunch,fastfood,100,64,14.8
tuesday,lunch,cafe,124,37,8.4
sunday,breakfast,fastfood,64,32,8.1
tuesday,breakfast,cafe,36,43,6.5
thursday,breakfast,fastfood,65,67,9.0
friday,dinner,fastfood,194,42,12.1
monday,breakfast,restaurant,140,77,12.2
friday,breakfast,restaurant,136,74,13.8
wednesday,lunch,fastfood,187,11,4.2
tuesday,dinner,cafe,200,70,14.8
friday,breakfast,fastfood,132,91,14.7
thursday,lunch,fastfood,144,72,14.3
friday,dinner,restaurant,145,16,10.2
wednesday,dinner,fastfood,98,56,12.9
thursday,lunch,restaurant,71,88,18.9
tuesday,dinner,restaurant,108,77,16.7
friday,dinner,restaurant,199,40,13.1
tuesday,lunch,fastfood,143,42,9.2
wednesday,lunch,restaurant,137,80,15.6
monday,lunch,fastfood,145,15,4.2
thursday,dinner,restaurant,114,14,8.8
friday,breakfast,fastfood,161,11,2.7
monday,breakfast,restaurant,135,70,13.0
wednesday,dinner,restaurant,82,98,21.7
sunday,lunch,cafe,28,93,18.2
thursday,lunch,restaurant,127,96,19.7
wednesday,lunch,restaurant,181,74,16.6
thursday,breakfast,fastfood,159,15,3.7
thursday,lunch,cafe,104,54,9.6
sunday,lunch,restaurant,16,67,15.9
wednesday,dinner,cafe,162,31,8.5
wednesday,dinner,restaurant,85,15,8.7
tuesday,dinner,fastfood,119,20,5.0
tuesday,breakfast,fastfood,163,76,9.5
monday,lunch,cafe,113,26,7.5
saturday,lunch,cafe,84,45,11.4
monday,dinner,restaurant,154,51,13.5
friday,dinner,fastfood,119,92,17.4
monday,dinner,cafe,177,31,8.5
sunday,breakfast,restaurant,89,35,11.0
saturday,breakfast,restaurant,133,27,10.6
